UPM,UPB,1.24
UPB,HCH,1.26
HCH,8EPK,1.5
8EPK,DGE,2.37
DGE,DGY,1.35
DGY,BEC,1.37
BEC,UPY,1.87
UPY,BKG,1.38
BKG,EHM,2.29
EHM,UPK,1.4
UPK,PLW,1.29
PLW,WHM,0.76
WHM,BBB,1.37
BBB,BWR,1.01
BWR,MLE,0.55
MLE,STG,1.05
STG,WCL,1
WCL,ALE,0.82
ALE,THL,0.8
GRD,SKN,0.74
SKN,SSQ,1.22
SSQ,VIC,1.05
VIC,SJP,0.72
SJP,WMS,0.76
WMS,EMB,0.69
EMB,TEM,0.71
TEM,BLF,0.76
BLF,MAN,0.61
MAN,CST,0.31
CST,MON,0.34
MON,THL,0.68
GRD,ECT,0.93
ERD,PADc,0.82
PADc,BAY,0.98
BAY,NHG,0.79
NHG,HST,0.93
HST,ECT,1.23
ECT,WBT,0.6
WBT,FBY,0.87
FBY,PGR,0.79
PGR,PUT,0.95
PUT,EPY,1.11
EPY,SFS,1.53
SFS,WMP,1.45
WMP,WDN,1.5
ECT,OLY,1.54
ECT,WKN,0.9
WKN,BCT,0.64
BCT,HMD,0.68
HMD,RCP,0.93
RCP,STB,0.77
STB,TGR,0.55
TGR,GUN,1.59
GUN,KEW,1.71
KEW,RMD,0.14
TGR,CHP,0.95
CHP,ACT,1.21
ACT,ECM,1.03
ECM,EBY,1.5