BKG,EHM,2.29
EHM,UPK,1.4
UPK,PLW,1.29
PLW,WHM,0.76
WHM,BBB,1.37
BBB,BWR,1.01
BWR,MLE,0.55
MLE,STG,1.05
STG,WCL,1
WCL,ALE,0.82
ALE,LST,0.92
LST,MGT,0.51
MGT,BAR,0.63
BAR,FAR,0.51
FAR,KXX,1.85
KXX,ESQ,0.85
ESQ,GPS,0.61
GPS,BST,0.92
BST,ERD,0.72
ERD,PADs,0.93
PADs,ROA,0.64
ROA,WBP,0.98
WBP,LBG,0.79
LBG,LRD,0.66
LRD,WLA,0.54
WLA,SBM,0.47
SBM,GHK,0.51
GHK,HMS,0.82
ERD,PADc,0.82
PADc,BAY,0.98
BAY,NHG,0.79
NHG,HST,0.93
HST,ECT,1.23
ECT,OLY,1.54
HST,GRD,0.93
GRD,SKN,0.74
SKN,SSQ,1.22
SSQ,VIC,1.05
VIC,SJP,0.72
SJP,WMS,0.76
WMS,EMB,0.69
EMB,TEM,0.71
TEM,BLF,0.76
BLF,MAN,0.61
MAN,CST,0.31
CST,MON,0.34
MON,THL,0.68
THL,ALD,0.5
ALD,LST,0.61
ALE,THL,0.8