EDG,BUR,1.48
BUR,COL,1.32
COL,HND,2.11
HND,BTX,1.11
BTX,GGR,1.56
GGR,HMP,2.35
HMP,BPK,1.21
BPK,CHF,1.11
CHF,CTN,0.85
MHE,FYC,1.53
HBT,TOT,2.48
TOT,WSP,1.51
WSP,WFY,0.98
WFY,FYC,1.14
FYC,EFY,2.43
EFY,HIG,1.64
HIG,ARC,1.71
ARC,TPK,0.89
TPK,KTN,0.8
KTN,CTN,1.16
CTN,MCR,0.64
MCR,EUSw,0.82
EUSw,WST,0.58
WST,GST,0.47
GST,TCR,0.63
TCR,LSQ,0.4
LSQ,CHX,0.47
CHX,EMB,0.27
EMB,WLO,0.71
WLO,KEN,1.9
CTN,EUSc,1.72
EUSc,KXX,0.61
KXX,ANG,1.38
ANG,OLD,1.45
OLD,MGT,0.69
MGT,BNK,0.82
BNK,LON,0.69
LON,BOR,0.68
BOR,ELE,0.85
ELE,KEN,0.9
KEN,OVL,0.82
OVL,STK,1.37
STK,CPN,0.82
CPN,CPC,0.63
CPC,CPS,1.26
CPS,BAL,1.16
BAL,TBE,0.98
TBE,TBY,1.11
TBY,CLW,1.21
CLW,SWM,1.14
SWM,MOR,1.46